date,code,open,high,low,close,volume,amount,return
2025-08-26,600519,1466.36,1470.27,1456.05,1457.65,39602,5883917000.0,-0.005946657392063237
2025-08-27,600519,1457.92,1460.97,1424.04,1424.04,56006,8184169113.0,-0.023057661304153987
2025-08-28,600519,1424.01,1432.14,1414.81,1422.14,39282,5683673273.0,-0.001334232184489137
2025-08-29,600519,1429.04,1458.62,1428.04,1456.04,62256,9159701454.0,0.02383731559480773
2025-09-01,600519,1458.24,1464.04,1441.74,1452.14,45123,6658918555.0,-0.0026784978434657436
2025-09-02,600519,1454.7,1485.04,1454.04,1467.34,56688,8470012816.0,0.010467310314432376
2025-09-03,600519,1467.04,1479.54,1442.04,1456.59,45045,6656011145.0,-0.007326182070958365
2025-09-04,600519,1448.04,1455.34,1436.51,1448.7,47747,7017084750.0,-0.005416761065227593
2025-09-05,600519,1447.04,1463.01,1440.04,1459.04,37388,5519312163.0,0.007137433561123618
2025-09-08,600519,1459.04,1482.48,1453.54,1477.27,51383,7682065696.0,0.012494516942647138
2025-09-09,600519,1481.04,1485.99,1469.46,1481.04,35743,5366650005.0,0.0025520047113933853
2025-09-10,600519,1482.7,1505.99,1472.04,1498.05,49663,7541460049.0,0.011485172581429337
2025-09-11,600519,1498.05,1502.06,1484.54,1499.54,37239,5642778456.0,0.0009946263475852923
2025-09-12,600519,1502.04,1514.06,1486.57,1492.04,33722,5132184935.0,-0.005001533803699831
2025-09-15,600519,1491.91,1493.52,1477.54,1491.14,25827,3901929718.0,-0.0006032009865686305
2025-09-16,600519,1491.14,1497.03,1472.25,1476.02,32718,4928374478.0,-0.010139892967796493
2025-09-17,600519,1476.03,1486.32,1466.05,1469.04,30331,4534770634.0,-0.0047289332122870675
2025-09-18,600519,1468.04,1473.84,1439.54,1444.0,49721,7347477479.0,-0.017045145128791517
2025-09-19,600519,1444.03,1451.54,1433.05,1444.01,32637,4784528851.0,6.9252077561365866e-06
2025-09-22,600519,1441.13,1444.01,1426.05,1429.39,34947,5085057536.0,-0.010124583624767092
2025-09-23,600519,1426.54,1433.54,1416.04,1423.46,38663,5588384388.0,-0.004148622839113214
2025-09-24,600519,1410.11,1432.82,1410.11,1418.04,30744,4443052872.0,-0.0038076236775181904
2025-09-25,600519,1418.87,1421.25,1412.04,1415.04,33870,4873274661.0,-0.0021155961750021213
2025-09-26,600519,1417.22,1423.15,1404.05,1411.04,45121,6480889597.0,-0.0028267752148348757
2025-09-29,600519,1415.42,1446.03,1411.04,1436.9,53684,7798434586.0,0.018326907812677318
2025-09-30,600519,1436.04,1436.8,1416.04,1420.03,39364,5687474876.0,-0.011740552578467622
2025-10-09,600519,1412.04,1415.42,1396.04,1412.82,54918,7845448947.0,-0.005077357520615777
2025-10-10,600519,1413.64,1415.98,1403.54,1406.04,36001,5157459262.0,-0.004798912812672529
2025-10-13,600519,1391.74,1398.89,1391.16,1395.24,46069,6533147458.0,-0.007681147051292969
2025-10-14,600519,1406.03,1440.04,1406.03,1427.06,66672,9639484605.0,0.02280611221008577
2025-10-15,600519,1427.02,1439.04,1421.12,1438.04,42785,6233407482.0,0.007694140400543725
2025-10-16,600519,1437.96,1460.99,1434.92,1460.95,45730,6749162949.0,0.01593140663681125
2025-10-17,600519,1459.14,1464.04,1430.07,1431.04,38086,5594724900.0,-0.020472979910332367
2025-10-20,600519,1431.04,1445.54,1430.92,1433.97,25950,3793283759.0,0.0020474619856887255
2025-10-21,600519,1435.04,1445.98,1431.54,1438.3,25443,3727984130.0,0.0030195889732700376
